hard_seat,need_time,soft_seat,business_class,pssive_seat,private_soft,arrival_station,train_number,second_soft,arrival_time,other,departure_station,without_seat,reservation,first_class,second_class,departure_time,first_soft
有,01:08,--,--,--,--,亳州(过),K1072,无,01:33,--,阜阳(过),有,预订,--,--,00:25,无
有,01:08,--,--,--,--,亳州(过),K570,有,04:32,--,阜阳(过),有,预订,--,--,03:24,2
有,01:09,--,--,--,--,亳州(过),K1620,5,05:44,--,阜阳(过),有,预订,--,--,04:35,1
有,01:10,--,--,--,--,亳州(过),K892,4,06:13,--,阜阳(过),有,预订,--,--,05:03,无
有,01:19,--,--,--,--,亳州(终),K8564,有,06:40,--,阜阳(过),无,预订,--,--,05:21,有
有,02:11,--,--,--,--,亳州(过),K1396,15,08:31,--,阜阳(过),有,预订,--,--,06:20,8
有,01:07,--,--,--,--,亳州(终),K8500,有,07:35,--,阜阳(过),无,预订,--,--,06:28,有
有,01:07,--,--,--,--,亳州(过),K106,8,07:43,--,阜阳(过),有,预订,--,--,06:36,3
有,01:42,--,--,--,--,亳州(过),K1238,有,08:42,--,阜阳(过),有,预订,--,--,07:00,9
有,01:26,--,--,--,--,亳州(过),K134,有,09:09,--,阜阳(过),有,预订,--,--,07:43,1
有,01:33,--,--,--,--,亳州(终),K8366,有,09:52,--,阜阳(过),无,预订,--,--,08:19,9
有,01:09,--,--,--,--,亳州(过),K726,有,09:43,--,阜阳(过),有,预订,--,--,08:34,2
有,01:08,--,--,--,--,亳州(过),K732,有,11:14,--,阜阳(过),有,预订,--,--,10:06,6
有,01:20,--,--,--,--,亳州(过),K30,19,11:33,--,阜阳(过),有,预订,--,--,10:13,4
有,00:57,有,--,--,--,亳州(终),T7788,--,11:22,--,阜阳(过),有,预订,--,--,10:25,--
有,01:23,--,--,--,--,亳州(过),K1282,无,12:53,--,阜阳(过),有,预订,--,--,11:30,3
无,00:52,--,--,--,--,亳州(过),Z186,无,12:42,--,阜阳(过),1,预订,--,--,11:50,无
有,01:08,--,--,--,--,亳州(过),K744,有,13:35,--,阜阳(过),有,预订,--,--,12:27,无
有,00:54,--,--,--,--,亳州(过),Z386,有,17:52,--,阜阳(过),19,预订,--,--,16:58,2
有,01:07,--,--,--,--,亳州(终),K8416,--,18:12,--,阜阳(过),有,预订,--,--,17:05,--
有,01:15,--,--,--,--,亳州(过),K1138,有,19:29,--,阜阳(过),有,预订,--,--,18:14,4
有,01:21,--,--,--,--,亳州(过),K876,有,20:10,--,阜阳(过),有,预订,--,--,18:49,3
有,01:13,--,--,--,--,亳州(过),K606,无,21:50,--,阜阳(过),有,预订,--,--,20:37,无
有,01:20,--,--,--,--,亳州(过),K148,有,22:26,--,阜阳(始),有,预订,--,--,21:06,5
2,01:13,--,--,--,--,亳州(过),K342,无,22:54,--,阜阳(过),有,预订,--,--,21:41,无
无,01:07,--,--,--,--,亳州(过),K2276,无,01:00,--,阜阳(过),无,预订,--,--,23:53,无
